58	12	1	4	2	1	3	1	1	2	1	1	2	2	1	2	1	2	3	2	3	3	3	1	2	2	3	2	2	1	2	1	3	1	1	1.5	1.22222222222222	2.8	1.6	2	2	2	3	1.9	3.1	0
59	12	1	3	2	13	3	4	2	2	2	2	1	1	1	2	2	2	2	2	2	3	3	2	2	2	3	2	2	1	4	2	3	1	2	1.9	3.11111111111111	2.6	2.4	3	2	2	1	2	2.6	0
60	14	2	4	2	1	3	2	3	2	4	2	4	1	1	2	3	3	2	3	2	2	3	2	2	3	4	1	2	3	4	3	2	3	2	3.7	3	3	2.8	3	2	1	1	2.25	2.6	0
63	14	1	3	1	1	2	2	1	3	1	1	1	1	1	3	1	1	2	2	1	3	2	1	2	1	2	1	1	1	3	1	1	1	1	3	4.55555555555556	3.2	2.4	3	3	3	2	1.65	2.9	0
64	15	2	2	3	1	3	1	2	3	4	1	2	3	1	2	1	1	4	4	2	3	4	1	1	2	4	2	2	1	4	2	2	2	1	4.7	3.11111111111111	2.8	2.2	1	1	1	1	1.65	2.8	0
65	14	2	2	1	1	3	2	4	3	4	4	4	4	4	3	1	2	4	3	2	4	4	3	1	1	4	2	1	1	4	1	3	1	2	3.2	3.11111111111111	4	3.2	1	1	1	1	1.75	2.9	0
66	14	1	2	2	1	3	1	3	3	2	1	1	2	1	1	1	1	4	1	1	4	4	1	1	1	4	4	1	1	4	1	1	1	1	1.3	1	4	1	1	1	1	1	1.3	4	0
68	11	1	3	2	5	3	3	2	2	2	2	2	1	1	2	1	1	3	2	2	3	2	2	1	1	2	2	1	1	4	1	1	1	2	1.7	1.55555555555556	3	2.4	2	3	3	1	1.65	2.77777777777778	0
69	11	1	4	2	1	4	4	3	3	1	1	1	2	1	2	2	3	2	4	3	2	2	3	1	1	2	2	3	2	1	2	3	3	2	3.1	2.11111111111111	2.4	3.6	3	3	3	4	2.55	1.9	0
70	12	1	2	1	1	5	4	2	2	3	2	3	3	1	4	2	2	2	2	2	2	3	2	2	4	3	2	3	2	2	2	3	2	2	3	3.33333333333333	3	3	3	2	2	3	2.4	2.5	0
